"Company","City","location","latitude","longitude"
"ING","Amsterdam","Amsterdam",52.3730796,4.8924534
"Optimizely","Amsterdam","Amsterdam",52.3730796,4.8924534
"Drukwerkdeal.nl","Deventer","Deventer",52.2694897,6.23648855066233
"Vesper","Amsterdam","Amsterdam",52.3730796,4.8924534
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"Icon plc","Groningen","Groningen",53.2190652,6.5680077
"RESONIKS","Den Haag","Den Haag",52.0799838,4.3113461
"Drukwerkdeal.nl","Deventer","Deventer",52.2694897,6.23648855066233
"Albert Heijn","Zaandam","Zaandam",52.4424926,4.8298607
"Algemene Rekenkamer","Den Haag","Den Haag",52.0799838,4.3113461
"Militaire Inlichtingen- en Veiligheidsdienst (MIVD)","Eibergen","Eibergen",52.1032685,6.6511683
"DataTalent","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Gemeente Leeuwarden","Leeuwarden","Leeuwarden",53.2005936,5.7918548
"Ministerie van Defensie","Eibergen","Eibergen",52.1032685,6.6511683
"Ring of Security B.V.","Amsterdam","Amsterdam",52.3730796,4.8924534
"Kraft Heinz Company","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Picnic","Amsterdam","Amsterdam",52.3730796,4.8924534
"Adyen","Amsterdam","Amsterdam",52.3730796,4.8924534
"Bunnik Plants","Bleiswijk","Bleiswijk",52.0109579,4.5310837
"Raad van State","Den Haag","Den Haag",52.0799838,4.3113461
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"ABN AMRO","Amsterdam","Amsterdam",52.3730796,4.8924534
"Just Eat Takeaway.com","Amsterdam","Amsterdam",52.3730796,4.8924534
"Just Eat Takeaway.com","Amsterdam","Amsterdam",52.3730796,4.8924534
"Walker & Dunlop","Thuiswerk","Thuiswerk",NA,NA
"Not selling liquid","Amsterdam","Amsterdam",52.3730796,4.8924534
"Schneider Electric","Amsterdam","Amsterdam",52.3730796,4.8924534
"Walker & Dunlop","Thuiswerk","Thuiswerk",NA,NA
"Essent","Den Bosch","Den Bosch",51.6889387,5.303116
"Amsterdam UMC","Amsterdam Zuid","Amsterdam Zuid",52.3390172,4.8734324
"NIBC","Den Haag","Den Haag",52.0799838,4.3113461
"Givaudan","Naarden","Naarden",52.2957628,5.1633636
"Erasmus Universiteit Rotterdam","Rotterdam","Rotterdam",51.9244424,4.47775
"Amsterdam UMC","Amsterdam Zuid","Amsterdam Zuid",52.3390172,4.8734324
"Crocs, Inc. Global Jobs","Hoofddorp","Hoofddorp",52.305554,4.6926644
"IKEA","Amsterdam","Amsterdam",52.3730796,4.8924534
"Levy Professionals","Utrecht","Utrecht",52.0907006,5.1215634
"TUI Group","Rijswijk","Rijswijk",52.0446265,4.3188215
"Markel Corporation","Rotterdam","Rotterdam",51.9244424,4.47775
"Kamer van Koophandel","Utrecht","Utrecht",52.0907006,5.1215634
"Satelliet Meubelen","Breda","Breda",51.5887845,4.7760237
"House of Bèta","Den Haag","Den Haag",52.0799838,4.3113461
"Universiteit Leiden","Leiden","Leiden",52.1594747,4.4908843
"LX Pantos Netherlands B.V.","Tilburg","Tilburg",51.58561845,5.06606161313677
"House of Bèta","Rotterdam","Rotterdam",51.9244424,4.47775
"DPG Media","Amsterdam","Amsterdam",52.3730796,4.8924534
"Ministerie van Defensie","Huis ter Heide","Huis ter Heide",53.0197445,6.4655281341801
"AKD","Rotterdam","Rotterdam",51.9244424,4.47775
"Royal IHC","Sliedrecht","Sliedrecht",51.8308564,4.76984303118367
"House of Bèta","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Broekhuis","Putten","Putten",52.24773005,5.57827393798401
"Stater","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"ABN AMRO","Amsterdam","Amsterdam",52.3730796,4.8924534
"House of Bèta","Den Haag","Den Haag",52.0799838,4.3113461
