"company","id","isExpired","jobType","jobType.0","jobType.1","jobType.2","jobType.3","jobType.4","jobType.5","jobType.6","location","positionName","postedAt","postingDateParsed","rating","reviewsCount","salary","scrapedAt","searchInput.country","searchInput.position","urlInput"
"ING","99a234a6d3d70133","false",NA,"","","","","","","","Amsterdam","Business Analyst – ESG Operational Readiness","Zojuist geplaatst",NA,3.9,2145,"€ 5.060 - € 8.143 per maand","2024-08-09T18:39:39.477Z","NL","Data Analyst",NA
"Optimizely","777d36156257ae21","false",NA,"","","","","","","","Amsterdam","Sales Development Representative","Zojuist geplaatst",NA,3.6,18,"","2024-08-09T18:39:39.989Z","NL","Data Analyst",NA
"Drukwerkdeal.nl","c8ffe8381a4a9f8c","false",NA,"Parttime","Fulltime","","","","","","Deventer","UX Designer","Zojuist geplaatst",NA,3.8,17,"€ 3.200 - € 4.600 per maand","2024-08-09T18:39:40.103Z","NL","Data Analyst",NA
"Vesper","3fcd911db4f98cc9","false",NA,"","","","","","","","Amsterdam","Junior Market Research Analyst","Zojuist geplaatst",NA,4.2,14,"","2024-08-09T18:39:40.032Z","NL","Data Analyst",NA
"ING Group","af1ba1b9227e4e99","false",NA,"Fulltime","","","","","","","Amsterdam","Product Manager/ Customer Journey Expert - Digital Mortgages","Zojuist geplaatst",NA,3.9,2145,"","2024-08-09T18:39:40.063Z","NL","Data Analyst",NA
"Icon plc","d81a802940bfa01f","false",NA,"Fulltime","","","","","","","Groningen","Lab Analyst III (Supervisor level)","Zojuist geplaatst",NA,3.4,1265,"","2024-08-09T18:39:40.225Z","NL","Data Analyst",NA
"RESONIKS","4b5d4772d3cdbbde","false",NA,"Stage","","","","","","","2517 Den Haag","Business Analyst Intern","Zojuist geplaatst",NA,NA,NA,"","2024-08-09T18:39:40.375Z","NL","Data Analyst",NA
"Drukwerkdeal.nl","7b15bdfe27121516","false",NA,"Parttime","Fulltime","","","","","","Deventer","Marketing Analist","Zojuist geplaatst",NA,3.8,17,"","2024-08-09T18:39:40.851Z","NL","Data Analyst",NA
"Albert Heijn","16857094b7514125","false",NA,"Fulltime","","","","","","","1506 Zaandam","Junior Data Analyst Operations","Zojuist geplaatst",NA,3.6,3590,"€ 49.000 - € 65.000 per jaar","2024-08-09T18:39:41.461Z","NL","Data Analyst",NA
"Algemene Rekenkamer","97f59aaf5f0b4bc7","false",NA,"Parttime","Uitzicht op vast","Bepaalde tijd","","","","","Den Haag","Data-analist / kwantitatief onderzoeker beleidsonderzoek","Zojuist geplaatst",NA,3.6,5,"€ 5.212,93 - € 7.747,70 per maand","2024-08-09T18:39:41.558Z","NL","Data Analyst",NA
"Militaire Inlichtingen- en Veiligheidsdienst (MIVD)","1aa78762173f0092","false",NA,"Fulltime","Bepaalde tijd","","","","","","Eibergen","Projectleider","Zojuist geplaatst",NA,NA,NA,"","2024-08-09T18:39:42.226Z","NL","Data Analyst",NA
"DataTalent","788bf5ba4d26257f","false",NA,"","","","","","","","1012 Amsterdam Centrum","Traineeship Datagedreven Overheid","Zojuist geplaatst",NA,NA,NA,"","2024-08-09T18:39:42.827Z","NL","Data Analyst",NA
