"company","jobType.0","location","positionName","rating","reviewsCount","salary","text_salary","numeric_salary","Python","SQL","Azure"," R ","AWS","Spark","Power BI","Tableau","Java","Excel","Git","HBO","WO","Master","Bachelor","degree1","degree2","experience"
"ING","Unknown","Amsterdam","Business Analyst – ESG Operational Readiness",3.9,2145,"€ 5.060 - € 8.143 per maand","per maand",85555.44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Not specified"
"Optimizely","Unknown","Amsterdam","Sales Development Representative",3.6,18,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,"Bachelor","WO","Junior"
"Drukwerkdeal.nl","Part-time","Deventer","UX Designer",3.8,17,"€ 3.200 - € 4.600 per maand","per maand",50544,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Medior"
"Vesper","Unknown","Amsterdam","Junior Market Research Analyst",4.2,14,"","",NA,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Not specified"
"ING Group","Full-time","Amsterdam","Product Manager/ Customer Journey Expert - Digital Mortgages",3.9,2145,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,"Both","WO","Senior"
"Icon plc","Full-time","Groningen","Lab Analyst III (Supervisor level)",3.4,1265,"","",NA,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,"Both","HBO","Senior"
"RESONIKS","Other","Den Haag","Business Analyst Intern",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Junior"
"Drukwerkdeal.nl","Part-time","Deventer","Marketing Analist",3.8,17,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Medior"
"Albert Heijn","Full-time","Zaandam","Junior Data Analyst Operations",3.6,3590,"€ 49.000 - € 65.000 per jaar","per jaar",57000,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,"None","WO","Junior"
"Algemene Rekenkamer","Part-time","Den Haag","Data-analist / kwantitatief onderzoeker beleidsonderzoek",3.6,5,"€ 5.212,93 - € 7.747,70 per maand","per maand",83984.9472,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,"Master","WO","Senior"
"Militaire Inlichtingen- en Veiligheidsdienst (MIVD)","Full-time","Eibergen","Projectleider",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Senior"
"DataTalent","Unknown","Amsterdam Centrum","Traineeship Datagedreven Overheid",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"None","HBO","Junior"
"Gemeente Leeuwarden","Unknown","Leeuwarden","Beleidsanalist (data-analist) Jeugdzorg",4,18,"Tot € 5.247 per maand","Tot   per maand",68001.12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"Ministerie van Defensie","Unknown","Eibergen","Projectleider",4,481,"€ 5.500 per maand","per maand",71280,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Senior"
"Ring of Security B.V.","Full-time","Amsterdam","Marketing Data Analyst, Data Analytics and BI",3.5,49998,"","",NA,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,"Both","HBO","Senior"
"Kraft Heinz Company","Full-time","Amsterdam Centrum","Marketing Services Analyst",3.5,5082,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,"Bachelor","WO","Medior"
"Picnic","Unknown","Amsterdam","Experienced Data Analyst",3.1,503,"","",NA,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,"Master","WO","Medior"
"Adyen","Unknown","Amsterdam","Customer Due Diligence Analyst",2.9,17,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Junior"
"Bunnik Plants","Part-time","Bleiswijk","Data Analist Stagiair",4.7,3,"","",NA,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"None","WO","Junior"
"Raad van State","Part-time","Den Haag","Business analist",3.5,2,"","",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Senior"
"Rabobank","Full-time","Utrecht","Business Analist",3.9,1426,"","",NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,"Master","WO","Medior"
"ABN AMRO","Unknown","Amsterdam","Business Analyst - Data Sourcing",4.1,1346,"","",NA,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Senior"
"Just Eat Takeaway.com","Full-time","Amsterdam","Reward Delivery Manager",3.5,111,"","",NA,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,"None","WO","Senior"
"Just Eat Takeaway.com","Full-time","Amsterdam","Senior Commercial Business Analyst",3.5,111,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Senior"
"Walker & Dunlop","Part-time","Thuiswerk","Data Analyst - Intern",3.9,33,"€ 650 per maand","per maand",8424,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,"None","HBO","Junior"
"Not selling liquid","Unknown","Amsterdam","Data Analyst (Medior)",NA,NA,"","",NA,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"Schneider Electric","Unknown","Amsterdam","Data Analyst",3.9,5601,"","",NA,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,"Both","HBO","Senior"
"Walker & Dunlop","Part-time","Thuiswerk","Data Scientist - Intern",3.9,33,"€ 650 per maand","per maand",8424,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,"None","HBO","Junior"
"Essent","Unknown","Den Bosch","Compliance Specialist",4,23,"€ 3.688 - € 5.734 per maand","per maand",61054.56,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"None","HBO","Medior"
"Amsterdam UMC","Unknown","Amsterdam Zuid","AI analist medical imaging",3.5,40,"","",NA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Master","WO","Medior"
"NIBC","Full-time","Den Haag","Senior Business Analyst IT",3.7,3,"","",NA,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,"Both","WO","Senior"
"Givaudan","Unknown","Naarden","Scientist I",3.7,650,"","",NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Junior"
"Erasmus Universiteit Rotterdam","Part-time","Rotterdam","Data Analist Onderwijs",4.4,31,"€ 4.492 - € 6.148 per maand","per maand",68947.2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"Amsterdam UMC","Full-time","Amsterdam Zuid","AI analyst medical imaging",3.5,40,"€ 3.330 - € 4.354 per maand","per maand",49792.32,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"Master","WO","Medior"
"Crocs, Inc. Global Jobs","Unknown","Hoofddorp","Wholesale Business Analyst",3.6,1153,"","",NA,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,"Bachelor","WO","Medior"
"IKEA","Full-time","Amsterdam","Senior Data Analyst - Range and Growth Domain (Malmo/Amsterdam)",3.7,12613,"","",NA,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,"Master","HBO","Medior"
"Levy Professionals","Unknown","Utrecht","Business Analyst",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Medior"
"TUI Group","Part-time","Rijswijk","Digital Business Analyst",3.7,1195,"","",NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,"Both","WO","Medior"
"Markel Corporation","Full-time","Rotterdam","Pricing Analyst",3.5,152,"","",NA,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Medior"
"Kamer van Koophandel","Unknown","Utrecht","Medior test automation engineer (Team ECM)",4.1,51,"Tot € 5.689,30 per maand","Tot   per maand",73733.328,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,"Master","HBO","Medior"
"Satelliet Meubelen","Full-time","Breda","Data Analist",5,2,"Vanaf € 3.000 per maand","Vanaf   per maand",38880,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"House of Bèta","Unknown","Den Haag","Traineeship Actuarieel Specialist",4.7,20,"","",NA,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,"Master","HBO","Junior"
"Universiteit Leiden","Other","Leiden","SOC Security Specialist",3.6,23,"€ 3.226 - € 5.929 per maand","per maand",59324.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"LX Pantos Netherlands B.V.","Full-time","Tilburg","Data Performance Analyst",NA,NA,"€ 2.500 - € 2.700 per maand","per maand",33696,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Junior"
"House of Bèta","Unknown","Rotterdam","Traineeship House of Bèta",4.7,20,"","",NA,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,"None","HBO","Junior"
"DPG Media","Full-time","Amsterdam","HR Data & Reporting analist",3.1,28,"","",NA,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"None","HBO","Medior"
"Ministerie van Defensie","Part-time","Huis ter Heide","Analist OSINT",4,481,"€ 5.475 per maand","per maand",70956,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"AKD","Unknown","Rotterdam","Data Analyst",4.2,9,"","",NA,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,"None","HBO","Medior"
"Royal IHC","Part-time","Sliedrecht","Werkstudent PowerBI analyst",3.8,54,"€ 2.422 per maand","per maand",31389.12,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"None","HBO","Junior"
"House of Bèta","Unknown","Amsterdam Centrum","Traineeship Data science",4.7,20,"€ 2.850 per maand","per maand",36936,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,"Master","HBO","Junior"
"Broekhuis","Full-time","Putten","Business Analist",4,4,"","",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"None","HBO","Junior"
"Stater","Full-time","Amersfoort","Test Engineer",3.1,19,"€ 3.890 - € 5.733 per maand","per maand",62357.04,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"ABN AMRO","Unknown","Amsterdam","Business Analist Financial Risk",4.1,1346,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"None","WO","Medior"
"House of Bèta","Unknown","Den Haag","Traineeship IT zonder vooropleiding in IT",4.7,20,"","",NA,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,"Master","HBO","Junior"
"A-INSIGHTS","Full-time","Amsterdam","Senior Market Intelligence Analyst (Delivery)",NA,NA,"€ 47.000 - € 60.000 per jaar","per jaar",53500,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Senior"
"EY","Unknown","Amsterdam Zuid","Consultant Forensic Data Analytics",3.9,10051,"","",NA,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,"Master","WO","Medior"
"TreviPay","Full-time","Rijswijk","Business Credit Analyst II",3.2,62,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Medior"
"Inpact Solutions","Unknown","Hoofddorp","Junior Product Consultant",5,3,"€ 3.000 - € 3.500 per maand","per maand",42120,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Master","WO","Junior"
"House of Bèta","Unknown","Rotterdam","Traineeship Cyber Security",4.7,20,"","",NA,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,"Master","WO","Junior"
"Planbureau voor de Leefomgeving/Ministerie van Infrastructuur en Waterstaat","Full-time","Den Haag","Research analyst Global impacts of climate change",4,12,"","",NA,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"Master","WO","Medior"
"ING Group","Full-time","Amsterdam","Data Analyst",3.9,2145,"","",NA,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,"Both","HBO","Medior"
"NS","Unknown","Utrecht","Proces en Data Analist (MBN) - Utrecht",3.9,143,"","",NA,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"Booking.com","Full-time","Amsterdam Centrum","IT Asset Management Specialist - Software and Licensing",3.7,1112,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Medior"
"ING Group","Full-time","Amsterdam","Business Analyst Model Risk",3.9,2145,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"Master","WO","Medior"
"RiverBank S.A. Dutch Branch","Full-time","Schiphol","Senior Credit Analyst",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"None","WO","Senior"
"ING Group","Full-time","Amsterdam","Senior Data Analyst - Digital, Assisted & Customer Interactions",3.9,2145,"€ 36 per uur","per uur",73728,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,"Master","WO","Senior"
"ING Group","Full-time","Amsterdam","Credit Risk Specialist",3.9,2145,"","",NA,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,"Master","WO","Medior"
"ING Group","Full-time","Amsterdam","Senior NLP/LLM Data Scientist",3.9,2145,"","",NA,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,"Master","WO","Senior"
"Energie Data Services Nederland","Full-time","Amersfoort","Data Analist (Senior)",3.9,14,"€ 56.000 - € 85.000 per jaar","per jaar",70500,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,"None","HBO","Senior"
"Rijksinstituut voor Volksgezondheid en Milieu (RIVM)","Part-time","Bilthoven","Onderzoeksmedewerker bacteriologie (moleculair)",3.9,24,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Junior"
"Dienst Uitvoering Onderwijs (DUO)","Part-time","Den Haag","Informatie analist/ontwerper",4.3,17,"€ 4.024 - € 6.110 per maand","per maand",65668.32,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,"Bachelor","HBO","Medior"
"Belastingdienst","Part-time","Apeldoorn","Business analist",3.6,223,"€ 4.691 - € 6.907 per maand","per maand",75155.04,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"None","WO","Medior"
"The Headhunter Group B.V.","Full-time","Amsterdam","Analyst/Associate Debt & Structured Finance",NA,NA,"€ 60.000 - € 70.000 per jaar","per jaar",65000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Junior"
"ING Group","Full-time","Amsterdam","Cyber Security Governance Analyst",3.9,2145,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Medior"
"Booking.com","Full-time","Amsterdam Centrum","Manager Data Engineering",3.7,1112,"","",NA,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,"Bachelor","WO","Senior"
"Goldman Sachs","Full-time","Den Haag","Asset Management Operations, Data Governance, Analyst, The Hague",3.9,2208,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,"Both","WO","Medior"
"Varrlyn","Full-time","Amsterdam-Zuidoost","Data Analyst Responsible Investments",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Master","WO","Senior"
"Luxoft","Unknown","Amsterdam","ETL Developer - Data Warehouse for Reg Reporting",4.5,655,"","",NA,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Senior"
"HCME","Unknown","Amsterdam Westpoort","HR Data & Payroll Analyst",NA,NA,"€ 3.538 - € 5.508 per maand","per maand",58618.08,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Medior"
"Rabobank","Full-time","Utrecht","Azure Platform Engineer (Mid-Level)",3.9,1426,"","",NA,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Senior"
"ING Group","Full-time","Amsterdam","Lead Operational Work Flow Management | Tribe KYC Services & Operations | Amsterdam/Leeuwarden",3.9,2145,"","",NA,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,"Master","WO","Senior"
"ING Group","Full-time","Amsterdam","Credit Risk Test Engineer",3.9,2145,"","",NA,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Medior"
"ING Group","Full-time","Amsterdam","Senior Data Engineer Collections(Oracle Exadata, DataStage, Cognos)",3.9,2145,"","",NA,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,"Both","HBO","Senior"
"VeiligheidNL","Part-time","Amsterdam Nieuw-West","Junior Data Analist (32-36 uur)",NA,NA,"€ 3.404 - € 5.389 per maand","per maand",56978.64,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Junior"
"ING Group","Full-time","Amsterdam","Customer Journey Expert (Product Manager) - Credit Risk Model",3.9,2145,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Senior"
"Royal Den Hartogh Logistics","Full-time","Rotterdam","Data Analyst",NA,NA,"","",NA,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,"Both","HBO","Medior"
"ING Group","Full-time","Amsterdam","Senior Data Scientist Transaction Monitoring",3.9,2145,"","",NA,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,"None","WO","Senior"
"ING Group","Full-time","Amsterdam","Chapter Lead Business Analyst - DBNL Finance Information Management",3.9,2145,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,"Both","WO","Senior"
"Gemeente Utrecht","Unknown","Utrecht","Business Analist",3.5,56,"€ 4.211 - € 5.997 per maand","per maand",66147.84,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"Formorrow","Part-time","Amersfoort","Data Engineer",4.8,5,"Vanaf € 2.700 per maand","Vanaf   per maand",34992,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Medior"
"Online Dialogue","Full-time","Utrecht","Data Analist",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Medior"
"Formorrow","Part-time","Rotterdam","Data Analist",4.8,5,"Vanaf € 2.700 per maand","Vanaf   per maand",34992,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,"None","HBO","Junior"
"Ampère","Full-time","Utrecht","Logistiek Business Analyst",NA,NA,"€ 40.000 - € 55.000 per jaar","per jaar",47500,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,"Master","HBO","Medior"
"Chane","Unknown","Rotterdam","Reporting Analyst",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Senior"
"Venture IQ","Other","Amsterdam","Full-time Internship Technology Analyst",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Junior"
"code d'azur","Unknown","Amsterdam","Digital Project Manager",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"None","WO","Senior"
"Johnson & Johnson","Unknown","Leiden","Lab Analyst Quality Control",4.2,8096,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Medior"
"bunq","Full-time","Amsterdam","Market Analyst Germany",3.9,195,"€ 53.000 - € 65.000 per jaar","per jaar",59000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Medior"
"PGGM","Unknown","Zeist","Talentvolle Database marketeer",4.2,38,"€ 3.428 - € 4.888 per maand","per maand",53887.68,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Junior"
"Lekkerland Nederland B.V.","Full-time","Son","Business Analist (M/V/X)",3.4,70,"","",NA,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"None","HBO","Junior"
"Finalyse","Full-time","Amsterdam","Data Management consultant - Risk and Regulatory Reporting",4,6,"","",NA,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,"Master","WO","Medior"
"ABN AMRO","Unknown","Amstelveen","Data Warehouse Tester",4.1,1346,"","",NA,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"None","HBO","Medior"
"De Volksbank","Full-time","Utrecht","Data Analist Ondernemen",4,30,"€ 3.609,86 - € 5.553,63 per maand","per maand",59379.3504,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,"None","HBO","Junior"
"Duke Energy","Full-time","Drenthe","Sr Cybersecurity Systems Engineering Analyst (Data Protection)",3.8,1865,"","",NA,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,"Bachelor","WO","Senior"
"Finalyse","Full-time","Amsterdam","Data Engineer consultant - Risk and Regulatory Reporting",4,6,"","",NA,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,"Master","WO","Senior"
